id	cname	freq	fullcname	EventRootCode
1	AFG	64	Afghanistan	1
2	AGO	10	Angola	3
3	ALB	2	Albania	3
4	ARE	26	United Arab Emirates	1
5	ARG	14	Argentina	2
6	ARM	4	Armenia	1
7	AUS	30	Australia	4
8	AUT	24	Austria	1
9	AZE	9	Azerbaijan	3
10	BDI	10	Burundi	1
11	BEL	47	Belgium	3
12	BFA	2	Burkina Faso	17
13	BGD	16	Bangladesh	1
14	BGR	2	Bulgaria	17
15	BHR	3	Bahrain	4
16	BIH	2	Bosnia and Herzegovina	11
17	BLR	11	Belarus	5
18	BMU	2	Bermuda	1
19	BOL	2	"Bolivia, Plurinational State of"	1
20	BRA	13	Brazil	6
21	BRB	1	Barbados	4
22	BTN	1	Bhutan	4
23	BWA	4	Botswana	1
24	CAN	32	Canada	3
25	CHE	6	Switzerland	2
26	CHL	2	Chile	6
27	CHN	153	China	1
28	CIV	4	Cote d'Ivoire	4
29	CMR	9	Cameroon	17
30	COD	4	"Congo, the Democratic Republic of the"	4
31	COL	6	Colombia	4
32	CUB	14	Cuba	19
33	CYP	8	Cyprus	13
34	CZE	4	Czech Republic	1
35	DEU	55	Germany	7
36	DNK	4	Denmark	4
37	DZA	5	Algeria	1
38	ECU	4	Ecuador	4
39	EGY	46	Egypt	1
40	ERI	1	Eritrea	1
41	ESP	22	Spain	4
42	EST	4	Estonia	8
43	ETH	6	Ethiopia	4
44	FIN	3	Finland	1
45	FRA	130	France	5
46	GBR	98	United Kingdom	1
47	GEO	8	Georgia	19
48	GHA	3	Ghana	7
49	GMB	3	Gambia	6
50	GRC	48	Greece	1
51	GTM	2	Guatemala	4
52	GUY	1	Guyana	1
53	HKG	10	Hong Kong	18
54	HRV	5	Croatia	4
55	HUN	12	Hungary	19
56	IDN	31	Indonesia	1
57	IND	127	India	3
58	IRL	4	Ireland	6
59	IRN	94	"Iran, Islamic Republic of"	1
60	IRQ	92	Iraq	4
61	ISL	1	Iceland	7
62	ISR	70	Israel	4
63	ITA	19	Italy	5
64	JOR	15	Jordan	18
65	JPN	53	Japan	6
66	KAZ	5	Kazakhstan	1
67	KEN	17	Kenya	13
68	KGZ	1	Kyrgyzstan	11
69	KHM	3	Cambodia	5
70	KOR	52	"Korea, Republic of"	4
71	KWT	7	Kuwait	3
72	LAO	3	Lao People's Democratic Republic	1
73	LBN	21	Lebanon	17
74	LBR	1	Liberia	11
75	LBY	25	Libya	4
76	LKA	3	Sri Lanka	8
77	LTU	1	Lithuania	1
78	LUX	2	Luxembourg	7
79	LVA	1	Latvia	3
80	MAC	1	Macao	4
81	MAR	5	Morocco	1
82	MDA	2	"Moldova, Republic of"	19
83	MDV	1	Maldives	4
84	MEX	12	Mexico	4
85	MKD	4	"Macedonia, the former Yugoslav Republic of"	9
86	MLI	6	Mali	5
87	MMR	11	Myanmar	5
88	MNG	1	Mongolia	4
89	MOZ	3	Mozambique	5
90	MUS	1	Mauritius	3
91	MWI	2	Malawi	17
92	MYS	28	Malaysia	1
93	NER	9	Niger	1
94	NGA	64	Nigeria	1
95	NLD	4	Netherlands	17
96	NOR	4	Norway	4
97	NPL	9	Nepal	4
98	NRU	1	Nauru	2
99	NZL	4	New Zealand	14
100	OMN	4	Oman	1
101	PAK	105	Pakistan	1
102	PAN	3	Panama	4
103	PER	1	Peru	1
104	PHL	39	Philippines	7
105	PNG	1	Papua New Guinea	8
106	POL	14	Poland	5
107	PRK	30	"Korea, Democratic People's Republic of"	3
108	PRT	1	Portugal	1
109	PRY	1	Paraguay	4
110	PSE	25	"Palestine, State of"	19
111	QAT	11	Qatar	19
112	ROU	6	Romania	10
113	RUS	126	Russian Federation	4
114	RWA	2	Rwanda	1
115	SAU	40	Saudi Arabia	6
116	SDN	8	Sudan	1
117	SEN	1	Senegal	2
118	SGP	4	Singapore	1
119	SLB	1	Solomon Islands	4
120	SLE	2	Sierra Leone	4
121	SLV	1	El Salvador	18
122	SOM	10	Somalia	1
123	SRB	9	Serbia	6
124	SSD	6	South Sudan	3
125	SVK	3	Slovakia	5
126	SWE	3	Sweden	6
127	SWZ	1	Swaziland	11
128	SYC	1	Seychelles	11
129	SYR	110	Syrian Arab Republic	6
130	TCD	3	Chad	17
131	TGO	1	Togo	19
132	THA	23	Thailand	4
133	TKM	2	Turkmenistan	1
134	TUN	6	Tunisia	1
135	TUR	79	Turkey	7
136	TWN	23	"Taiwan, Province of China"	14
137	TZA	3	"Tanzania, United Republic of"	4
138	UGA	8	Uganda	8
139	UKR	68	Ukraine	4
140	USA	429	United States	5
141	UZB	2	Uzbekistan	19
142	VEN	6	"Venezuela, Bolivarian Republic of"	1
143	VNM	5	Viet Nam	3
144	XKX	2	NA	4
145	YEM	28	Yemen	4
146	ZAF	20	South Africa	1
147	ZWE	9	Zimbabwe	17
