"","code","src_actor","month","tgt_agent","country_code","year","admin_info","source","event_id","date8","src_agent","tgt_actor","latitude","src_other_agent","quad_class","source_text","root_code","tgt_other_agent","day","target","url","geoname","longitude","goldstein"
"1","010","USA","05","","","2016","PAK","USAGOV","2248512_v1.2.0","20160515","GOV","PAK","30.0","","0","int_the_news_islamabad
","01","","15","PAK","http://feedproxy.google.com/~r/TheNewsInternational-Islamabad/~3/zW_kRrPxGLo/120025-High-time-Pakistan-devises-water-policy","Islamic Republic of Pakistan","70.0","0.0"
"2","010","USA","05","","","2016","PAK","USAGOV","2246564_v1.2.0","20160515","GOV","PAK","30.0","","0","int_the_news_islamabad
","01","","15","PAK","http://feedproxy.google.com/~r/TheNewsInternational-Islamabad/~3/zW_kRrPxGLo/120025-High-time-Pakistan-devises-water-policy","Islamic Republic of Pakistan","70.0","0.0"
"3","015","USA","05","","Islāmābād Capital Territory","2016","PAK","USAGOV","2212086_v1.2.0","20160501","GOV","PAK","33.72148","","0","yahoo_india;dawn_pk;wn_world;wn_world;hindu_int
","01","","01","PAK","https://in.news.yahoo.com/f-16s-platform-pakistans-counterterrorism-war-030404333.html;http://feedproxy.google.com/~r/dawn-news/~3/E3y1qozN7Sg/f-16s-right-platform-for-pakistans-counterterrorism-war-us;http://article.wn.com/view/2016/05/01/F16s_right_platform_for_Pakistan_s_counterterrorism_war_US/;http://article.wn.com/view/2016/05/01/F16s_right_platform_for_Pakistan_s_counterterrorism_war/;http://www.thehindu.com/news/international/f16s-right-platform-for-pakistans-counterterrorism-war/article8543765.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Islamabad","73.04329","0.0"
"4","015","USA","05","","Islāmābād Capital Territory","2016","PAK","USAGOV","2214545_v1.2.0","20160501","GOV","PAK","33.72148","","0","yahoo_india;dawn_pk;wn_world;wn_world;hindu_int
","01","","01","PAK","https://in.news.yahoo.com/f-16s-platform-pakistans-counterterrorism-war-030404333.html;http://feedproxy.google.com/~r/dawn-news/~3/E3y1qozN7Sg/f-16s-right-platform-for-pakistans-counterterrorism-war-us;http://article.wn.com/view/2016/05/01/F16s_right_platform_for_Pakistan_s_counterterrorism_war_US/;http://article.wn.com/view/2016/05/01/F16s_right_platform_for_Pakistan_s_counterterrorism_war/;http://www.thehindu.com/news/international/f16s-right-platform-for-pakistans-counterterrorism-war/article8543765.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Islamabad","73.04329","0.0"
"5","062","USA","05","","","2016","PAK","USAGOV","2216100_v1.2.0","20160503","GOV","PAK","30.0","","2","china_scmp_asia;asianage_int;int_the_news_latest;pakistan_kooza;wn_asia;malstar_world
","06","","03","PAK","http://www.scmp.com/news/world/united-states-canada/article/1940628/us-tells-pakistan-foot-bill-fleet-f-16-fighter-jets;http://www.asianage.com/international/use-national-funds-f-16-fighter-jets-us-tells-pakistan-133;http://feedproxy.google.com/~r/com/YEor/~3/8wKuEOyLbV4/117178-US-tells-Pakistan-it-will-have-to-fund-F-16s-itself;http://thekooza.com/u-s-tells-pakistan-it-will-have-to-fund-f-16s-itself/;http://article.wn.com/view/2016/05/03/Pakistan_to_Abandon_F16_Purchase_Plans_Unless_US_Subsidizes_/;http://www.thestar.com.my/news/world/2016/05/03/us-tells-pakistan-it-will-have-to-fund-f16s-itself/","Islamic Republic of Pakistan","70.0","7.4"
"6","0332","USA","05","","","2016","PAK","USAGOV","2216214_v1.2.0","20160503","GOV","PAK","30.0","","1","yahoo_india
","03","","03","PAK","https://in.news.yahoo.com/obama-recalls-osamas-raid-says-wanted-strike-hideout-062215480.html","Islamic Republic of Pakistan","70.0","5.2"
"7","020","USA","05","","","2016","PAK","USAGOV","2216681_v1.2.0","20160503","GOV","PAK","30.0","","0","wn_africa
","02","","03","PAK","http://article.wn.com/view/2016/05/03/With_advantage_and_focus_CSKA_Moscow_Professional_Basket_Clu/","Islamic Republic of Pakistan","70.0","3.0"
"8","010","USA","05","","","2016","","USAGOV","2216982_v1.2.0","20160502","GOV","PAK","","","0","wn_asia
","01","","02","PAK","http://article.wn.com/view/2016/05/02/Pakistan_regrets_US_lack_of_appreciation_for_its_antiterror_/","","","0.0"
"9","015","USA","05","","","2016","PAK","USAGOV","2217324_v1.2.0","20160502","GOV","PAK","30.0","","0","wn_asia
","01","","02","PAK","http://article.wn.com/view/2016/05/02/Pakistan_regrets_US_lack_of_appreciation_for_its_antiterror_/","Islamic Republic of Pakistan","70.0","0.0"
"10","019","USA","05","","","2016","PAK","USAGOV","2217375_v1.2.0","20160503","GOV","PAK","30.0","","0","india_deccanher_news;india_deccanher_news;india_mint_econpol
","01","","03","PAK","http://www.deccanherald.com/content/544085/us-asks-pak-make-full.html;http://www.deccanherald.com/content/544085/pakistan-may-not-get-f.html;http://www.livemint.com/Politics/LMgpnPbeIqlRooFWO4v1bP/US-asks-Pakistan-to-make-full-payment-for-F16-no-subsidy.html","Islamic Republic of Pakistan","70.0","0.0"
"11","0231","USA","05","","","2016","PAK","USAGOV","2217788_v1.2.0","20160503","GOV","PAK","30.0","","0","india_deccanher_news
","02","","03","PAK","http://www.deccanherald.com/content/544085/us-asks-pak-make-full.html","Islamic Republic of Pakistan","70.0","3.4"
"12","0232","USA","05","","","2016","PAK","USAGOV","2218141_v1.2.0","20160503","GOV","PAK","30.0","","0","wn_world
","02","","03","PAK","http://article.wn.com/view/2016/05/03/US_talks_tough_asks_Pakistan_to_make_full_payment_for_F16_wi/","Islamic Republic of Pakistan","70.0","3.4"
"13","0232","USA","05","","","2016","PAK","USAGOV","2218143_v1.2.0","20160504","GOV","PAK","30.0","","0","asianage_int
","02","","04","PAK","http://www.asianage.com/international/us-asks-pak-make-full-payment-f-16s-314","Islamic Republic of Pakistan","70.0","3.4"
"14","062","USA","05","","","2016","PAK","USAGOV","2218656_v1.2.0","20160504","GOV","PAK","30.0","","2","wn_asia
","06","","04","PAK","http://article.wn.com/view/2016/05/04/US_tells_Pakistan_it_will_have_to_fund_F16s_itself/","Islamic Republic of Pakistan","70.0","7.4"
"15","015","USA","05","","","2016","PAK","USAGOV","2218782_v1.2.0","20160503","GOV","PAK","30.0","","0","wn_asia;wn_world
","01","","03","PAK","http://article.wn.com/view/2016/05/03/Pakistan_has_one_months_time_to_grab_US_F16_deal_o/;http://article.wn.com/view/2016/05/03/US_asks_Pakistan_to_pay_for_F16s/","Islamic Republic of Pakistan","70.0","0.0"
"16","041","USA","05","","Sindh","2016","PAK","USAGOV","2218829_v1.2.0","20160503","GOV","PAK","24.9056","","1","int_the_news_karachi
","04","","03","PAK","http://feedproxy.google.com/~r/TheNewsInternational-Karachi/~3/NOZXzEwCHFA/116984-Law-and-order-situation-in-Karachi-fast-improving-Ebad","Karachi","67.0822","1.0"
"17","062","USA","05","","","2016","PAK","USAGOV","2218838_v1.2.0","20160503","GOV","PAK","30.0","","2","china_scmp_asia;asianage_int;pakistan_kooza;wn_asia;int_the_news_latest
","06","","03","PAK","http://www.scmp.com/news/world/united-states-canada/article/1940628/us-tells-pakistan-foot-bill-fleet-f-16-fighter-jets;http://www.asianage.com/international/use-national-funds-f-16-fighter-jets-us-tells-pakistan-133;http://thekooza.com/u-s-tells-pakistan-it-will-have-to-fund-f-16s-itself/;http://article.wn.com/view/2016/05/03/Pakistan_to_Abandon_F16_Purchase_Plans_Unless_US_Subsidizes_/;http://feedproxy.google.com/~r/com/YEor/~3/8wKuEOyLbV4/117178-US-tells-Pakistan-it-will-have-to-fund-F-16s-itself","Islamic Republic of Pakistan","70.0","7.4"
"18","0231","USA","05","","","2016","PAK","USAGOV","2218941_v1.2.0","20160504","GOV","PAK","30.0","","0","dawn_pk
","02","","04","PAK","http://feedproxy.google.com/~r/dawn-news/~3/maYfZko7SE0/pakistan-may-study-other-fighter-aircraft-options-us-told","Islamic Republic of Pakistan","70.0","3.4"
"19","0332","USA","05","","","2016","PAK","USAGOV","2218947_v1.2.0","20160503","GOV","PAK","30.0","","1","yahoo_india
","03","","03","PAK","https://in.news.yahoo.com/obama-recalls-osamas-raid-says-wanted-strike-hideout-062215480.html","Islamic Republic of Pakistan","70.0","5.2"
"20","019","USA","05","","","2016","PAK","USAGOV","2219211_v1.2.0","20160504","GOV","PAK","30.0","","0","asianage_int
","01","","04","PAK","http://www.asianage.com/international/us-asks-pak-make-full-payment-f-16s-314","Islamic Republic of Pakistan","70.0","0.0"
"21","020","USA","05","","","2016","PAK","USAGOV","2219447_v1.2.0","20160503","GOV","PAK","30.0","","0","wn_africa
","02","","03","PAK","http://article.wn.com/view/2016/05/03/With_advantage_and_focus_CSKA_Moscow_Professional_Basket_Clu/","Islamic Republic of Pakistan","70.0","3.0"
"22","019","USA","05","","","2016","PAK","USAGOV","2220150_v1.2.0","20160503","GOV","PAK","30.0","","0","india_mint_econpol;india_deccanher_news;india_deccanher_news
","01","","03","PAK","http://www.livemint.com/Politics/LMgpnPbeIqlRooFWO4v1bP/US-asks-Pakistan-to-make-full-payment-for-F16-no-subsidy.html;http://www.deccanherald.com/content/544085/pakistan-may-not-get-f.html;http://www.deccanherald.com/content/544085/us-asks-pak-make-full.html","Islamic Republic of Pakistan","70.0","0.0"
"23","0232","USA","05","","","2016","PAK","USAGOV","2220855_v1.2.0","20160504","GOV","PAK","30.0","","0","asianage_int
","02","","04","PAK","http://www.asianage.com/international/us-asks-pak-make-full-payment-f-16s-314","Islamic Republic of Pakistan","70.0","3.4"
"24","062","USA","05","","","2016","PAK","USAGOV","2221368_v1.2.0","20160504","GOV","PAK","30.0","","2","wn_asia
","06","","04","PAK","http://article.wn.com/view/2016/05/04/US_tells_Pakistan_it_will_have_to_fund_F16s_itself/","Islamic Republic of Pakistan","70.0","7.4"
"25","0231","USA","05","","","2016","PAK","USAGOV","2221651_v1.2.0","20160504","GOV","PAK","30.0","","0","dawn_pk
","02","","04","PAK","http://feedproxy.google.com/~r/dawn-news/~3/maYfZko7SE0/pakistan-may-study-other-fighter-aircraft-options-us-told","Islamic Republic of Pakistan","70.0","3.4"
"26","019","USA","05","","","2016","PAK","USAGOV","2221938_v1.2.0","20160504","GOV","PAK","30.0","","0","asianage_int
","01","","04","PAK","http://www.asianage.com/international/us-asks-pak-make-full-payment-f-16s-314","Islamic Republic of Pakistan","70.0","0.0"
"27","010","USA","05","","Islāmābād Capital Territory","2016","PAK","USAGOV","2227218_v1.2.0","20160507","GOV","PAK","33.72148","","0","yahoo_india
","01","","07","PAK","https://in.news.yahoo.com/us-urges-islamabad-stop-taliban-using-pak-soil-025833603.html","Islamabad","73.04329","0.0"
"28","010","USA","05","","Islāmābād Capital Territory","2016","PAK","USAGOV","2229061_v1.2.0","20160507","GOV","PAK","33.72148","","0","yahoo_india
","01","","07","PAK","https://in.news.yahoo.com/us-urges-islamabad-stop-taliban-using-pak-soil-025833603.html","Islamabad","73.04329","0.0"
"29","010","USA","04","","","2016","PAK","USAGOV","2208009_v1.2.0","20160429","GOV","PAK","30.0","","0","pakistan_kooza
","01","","29","PAK","http://thekooza.com/us-senate-body-wants-pakistan-to-pay-total-price-of-f-16-deal/","Islamic Republic of Pakistan","70.0","0.0"
"30","025","USA","04","","","2016","PAK","USAGOV","2210241_v1.2.0","20160430","GOV","PAK","30.0","","0","dawn_pk
","02","","30","PAK","http://feedproxy.google.com/~r/dawn-news/~3/QgwkDeBCP7I/consolidation-of-democracy-top-us-priority-in-pakistan-olson","Islamic Republic of Pakistan","70.0","-0.3"
"31","010","USA","04","","","2016","PAK","USAGOV","2210436_v1.2.0","20160429","GOV","PAK","30.0","","0","pakistan_kooza
","01","","29","PAK","http://thekooza.com/us-senate-body-wants-pakistan-to-pay-total-price-of-f-16-deal/","Islamic Republic of Pakistan","70.0","0.0"
"32","025","USA","04","","","2016","PAK","USAGOV","2212114_v1.2.0","20160430","GOV","PAK","30.0","","0","dawn_pk
","02","","30","PAK","http://feedproxy.google.com/~r/dawn-news/~3/QgwkDeBCP7I/consolidation-of-democracy-top-us-priority-in-pakistan-olson","Islamic Republic of Pakistan","70.0","-0.3"
"33","062","USA","05","","","2016","PAK","USAGOV","2212550_v1.2.0","20160502","GOV","PAK","30.0","","2","reuters
","06","","02","PAK","http://feeds.reuters.com/~r/Reuters/worldNews/~3/PcRVK5z6HVQ/us-usa-pakistan-planes-idUSKCN0XT1U6","Islamic Republic of Pakistan","70.0","7.4"
"34","030","USA","05","","","2016","PAK","USAGOV","2213206_v1.2.0","20160502","GOV","PAK","30.0","","1","yahoo_india
","03","","02","PAK","https://in.news.yahoo.com/pakistan-regrets-us-lack-appreciation-anti-terror-role-170403018.html","Islamic Republic of Pakistan","70.0","4.0"
"35","062","USA","05","","","2016","PAK","USAGOV","2213566_v1.2.0","20160503","GOV","PAK","30.0","","2","malstar_world
","06","","03","PAK","http://www.thestar.com.my/news/world/2016/05/03/us-tells-pakistan-it-will-have-to-fund-f16s-itself/","Islamic Republic of Pakistan","70.0","7.4"
"36","010","USA","05","","","2016","","USAGOV","2214327_v1.2.0","20160502","GOV","PAK","","","0","wn_asia
","01","","02","PAK","http://article.wn.com/view/2016/05/02/Pakistan_regrets_US_lack_of_appreciation_for_its_antiterror_/","","","0.0"
"37","015","USA","05","","","2016","PAK","USAGOV","2214630_v1.2.0","20160502","GOV","PAK","30.0","","0","wn_asia
","01","","02","PAK","http://article.wn.com/view/2016/05/02/Pakistan_regrets_US_lack_of_appreciation_for_its_antiterror_/","Islamic Republic of Pakistan","70.0","0.0"
"38","062","USA","05","","","2016","PAK","USAGOV","2214954_v1.2.0","20160502","GOV","PAK","30.0","","2","reuters
","06","","02","PAK","http://feeds.reuters.com/~r/Reuters/worldNews/~3/PcRVK5z6HVQ/us-usa-pakistan-planes-idUSKCN0XT1U6","Islamic Republic of Pakistan","70.0","7.4"
"39","0231","USA","05","","","2016","PAK","USAGOV","2215058_v1.2.0","20160503","GOV","PAK","30.0","","0","india_deccanher_news
","02","","03","PAK","http://www.deccanherald.com/content/544085/us-asks-pak-make-full.html","Islamic Republic of Pakistan","70.0","3.4"
"40","0232","USA","05","","","2016","PAK","USAGOV","2215416_v1.2.0","20160503","GOV","PAK","30.0","","0","wn_world
","02","","03","PAK","http://article.wn.com/view/2016/05/03/US_talks_tough_asks_Pakistan_to_make_full_payment_for_F16_wi/","Islamic Republic of Pakistan","70.0","3.4"
"41","030","USA","05","","","2016","PAK","USAGOV","2215692_v1.2.0","20160502","GOV","PAK","30.0","","1","yahoo_india
","03","","02","PAK","https://in.news.yahoo.com/pakistan-regrets-us-lack-appreciation-anti-terror-role-170403018.html","Islamic Republic of Pakistan","70.0","4.0"
