"Var1","Freq"
"197001",10
"200101",52
"200111",26
"200810",16
"201006",2
"201110",2
"201112",8
"201201",4
"201202",2
"201203",8
"201205",6
"201208",2
"201209",22
"201210",2
"201211",4
"201212",12
"201302",8
"201303",6
"201305",22
"201306",24
"201307",20
"201308",60
"201309",12
"201310",10
"201311",18
"201312",4
"201401",8
"201402",50
"201403",142
"201404",52
"201405",68
"201406",28461
"201407",89296
"201408",75332
"201409",54280
"201410",44527
"201411",41674
"201412",33405
"201501",62026
"201502",90549
"201503",80649
"201504",70438
"201505",97011
"201506",98314
"201507",96527
"201508",83632
"201509",102686
"201510",99902
"201511",103037
"201512",83564
"201601",84361
"201602",86250
"201603",99334
"201604",89946
"201605",68087
